,fips,clr_count
0,6001,6
1,6003,4
2,6005,3
3,6007,4
4,6009,4
5,6011,5
6,6013,5
7,6015,3
8,6017,4
9,6019,6
10,6021,5
11,6023,4
12,6025,6
13,6027,5
14,6029,6
15,6031,6
16,6033,4
17,6035,4
18,6037,7
19,6039,4
20,6041,4
21,6043,4
22,6045,3
23,6047,5
24,6049,5
25,6051,5
26,6053,5
27,6055,6
28,6057,3
29,6059,6
30,6061,5
31,6063,3
32,6065,6
33,6067,6
34,6069,5
35,6071,6
36,6073,6
37,6075,7
38,6077,5
39,6079,5
40,6081,5
41,6083,5
42,6085,6
43,6087,5
44,6089,4
45,6091,4
46,6093,5
47,6095,6
48,6097,5
49,6099,5
50,6101,5
51,6103,5
52,6105,4
53,6107,5
54,6109,4
55,6111,6
56,6113,6
57,6115,5
