fips,st_damcat,bldgtype,lc_type,clr,clr_cc
6001,RES,M,urban,cocoa,1
6003,RES,W,forest,tan,1
6005,RES,M,forest,coffee,1
6007,RES,W,urban+forest,brown,1
6009,RES,W,forest,cocoa,1
6011,RES,W,urban+crop,beige,1
6013,RES,W,urban+grass,brown,1
6015,RES,W,forest,verde,1
6017,RES,W,forest,brown,1
6019,RES,W,urban,cocoa,1
6021,RES,W,urban+crop,coffee,1
6023,RES,W,forest,coffee,1
6025,RES,W,urban+crop,cocoa,1
6027,RES,W,urban+barren,beige,1
6029,RES,W,urban,cocoa,1
6031,RES,W,urban+crop,cocoa,1
6033,RES,W,forest,coffee,1
6035,RES,W,shrub,coffee,1
6037,RES,W,urban,cocoa,1
6039,RES,W,urban+crop,coffee,1
6041,RES,W,urban+forest,coffee,1
6043,RES,W,forest,tan,1
6045,RES,W,forest,coffee,1
6047,RES,W,urban+crop,coffee,1
6049,RES,H,shrub,beige,1
6051,RES,W,forest,beige,1
6053,RES,W,urban+crop,brown,1
6055,RES,W,urban+grass,cocoa,1
6057,RES,W,forest,coffee,1
6059,RES,W,urban,cocoa,1
6061,RES,W,forest,brown,1
6063,RES,W,forest,verde,1
6065,RES,W,urban,cocoa,1
6067,RES,W,urban,cocoa,1
6069,RES,W,urban+grass,coffee,1
6071,RES,W,urban,cocoa,1
6073,RES,W,urban,cocoa,1
6075,RES,W,urban,coffee,1
6077,RES,W,urban+crop,brown,1
6079,RES,W,urban+grass,brown,1
6081,RES,W,urban+forest,brown,1
6083,RES,W,urban+forest,brown,1
6085,RES,W,urban,cocoa,1
6087,RES,W,urban+forest,brown,1
6089,RES,W,urban+forest,brown,1
6091,RES,W,forest,tan,1
6093,RES,W,forest,cocoa,1
6095,RES,W,urban+grass,brown,1
6097,RES,W,urban+grass,brown,1
6099,RES,W,urban,brown,1
6101,RES,W,urban+crop,coffee,1
6103,RES,W,urban+grass,cocoa,1
6105,RES,W,forest,beige,1
6107,RES,W,urban+crop,brown,1
6109,RES,W,forest,cocoa,1
6111,RES,W,urban+grass,brown,1
6113,RES,W,urban+crop,cocoa,1
6115,RES,W,urban+crop,coffee,1
