fips,lc_type,freq
6115,urban+crop,0.5385131508319914
6115,forest,0.19122383252818034
6115,shrub,0.10453569511540527
6115,urban+shrub,0.062130971551261405
6115,crop,0.03985507246376811
6115,urban+forest,0.033145464304884596
6115,urban+grass,0.030595813204508857
6113,urban+crop,0.6293376613339516
6113,urban,0.15789473684210525
6113,urban+forest,0.04389829198547028
6113,urban+grass,0.04072957724708246
6113,crop,0.039415719916531415
6113,forest,0.03160986165855167
6113,urban+shrub,0.02890486127212304
6113,shrub,0.025890717984388283
6113,urban+other,0.001236571605224515
6113,urban+barren,0.0009274287039183863
6113,grass,0.00015457145065306437
6111,urban+grass,0.43874126643560546
6111,urban,0.2612092204434175
6111,urban+forest,0.10051163558342961
6111,forest,0.061084520731327134
6111,shrub,0.04281968054867873
6111,urban+crop,0.03548440336689223
6111,urban+shrub,0.034640846490986775
6111,grass,0.01173644349085841
6111,urban+barren,0.008508921530872349
6111,crop,0.003942711485210248
6111,barren,0.0013203498927215713
6109,forest,0.7983174425126192
6109,urban+forest,0.16578799775659
6109,shrub,0.03028603477285474
6109,urban+shrub,0.0038137969713965226
6109,grass,0.00179472798653954
6107,urban+crop,0.482225569037538
6107,urban+grass,0.16478645108124237
6107,urban+forest,0.1393822284106732
6107,crop,0.07655366428916484
6107,forest,0.06652269046062914
6107,shrub,0.03398596231991134
6107,urban+shrub,0.02313091415418715
6107,urban,0.007842914381518002
6107,grass,0.00460344974567361
6107,urban+barren,0.0009661561194623626
6105,forest,0.7019796682718031
6105,urban+forest,0.2980203317281969
6103,urban+grass,0.31007088731361526
6103,forest,0.2927157174285016
6103,shrub,0.19604008799804448
6103,urban+forest,0.1132974822781716
6103,urban+shrub,0.05988755805426546
6103,grass,0.013688584698117819
6103,crop,0.010877536054754338
6103,urban+crop,0.0034221461745294547
6101,urban+crop,0.7780109106168694
6101,crop,0.07259756609315988
6101,urban+forest,0.05818995663729193
6101,forest,0.04923765561617009
6101,shrub,0.025038466918450134
6101,urban+shrub,0.01692544411805847
6099,urban,0.3994963132204798
6099,urban+forest,0.2283726243639007
6099,urban+crop,0.20342195451241044
6099,forest,0.09053380413334718
6099,crop,0.03801017758853464
6099,urban+shrub,0.013293176861564025
6099,urban+grass,0.012176757711081109
6099,shrub,0.011319970921175615
6099,urban+barren,0.002752103022120677
6099,grass,0.0006231176653858137
6097,urban+grass,0.32368960059584767
6097,forest,0.2685969649008472
6097,urban+forest,0.24466995624243554
6097,shrub,0.13048133320919839
6097,urban+shrub,0.02841914160692673
6097,crop,0.0025370077273996834
6097,urban+crop,0.000954287310306303
6097,grass,0.0006517084070384508
6095,urban+grass,0.7347633984282775
6095,shrub,0.08182400755506088
6095,urban+crop,0.049512631117406995
6095,urban+forest,0.04485817396876792
6095,urban+shrub,0.03743802489122736
6095,forest,0.03352558265034234
6095,crop,0.010691760261728895
6095,grass,0.007386421127188101
6093,forest,0.39438502673796794
6093,urban+forest,0.3
6093,shrub,0.13663101604278075
6093,urban+grass,0.09946524064171124
6093,urban+shrub,0.03823529411764706
6093,urban+crop,0.017780748663101604
6093,grass,0.010160427807486631
6093,crop,0.0033422459893048127
6091,forest,0.5877616747181964
6091,urban+forest,0.1497584541062802
6091,urban+grass,0.13526570048309178
6091,shrub,0.06602254428341385
6091,urban+shrub,0.04669887278582931
6091,grass,0.014492753623188406
6089,urban+forest,0.4798634250689045
6089,forest,0.4202970093381052
6089,urban+grass,0.04689621127977292
6089,shrub,0.03825743551770949
6089,urban+shrub,0.011230408490682462
6089,crop,0.0023036735365502487
6089,grass,0.0009461516310831379
6089,urban+crop,0.0002056851371919865
6087,urban+forest,0.5799698795180723
6087,forest,0.41656626506024097
6087,urban,0.0008032128514056225
6087,urban+barren,0.0007530120481927711
6087,urban+shrub,0.0007530120481927711
6087,barren,0.0006024096385542169
6087,urban+crop,0.00035140562248995986
6087,crop,0.00010040160642570282
6087,shrub,0.00010040160642570282
6085,urban,0.6841244872150767
6085,urban+forest,0.13954946896558815
6085,urban+grass,0.0821689645600074
6085,forest,0.05719543917008523
6085,urban+shrub,0.019164533275757484
6085,shrub,0.011751642453965023
6085,crop,0.0031872346113115983
6085,urban+crop,0.00180952674706723
6085,urban+barren,0.000812230755785859
6085,grass,0.00023647224535537666
6083,urban+forest,0.39520181013542743
6083,urban+grass,0.22237380627557982
6083,urban+crop,0.16620636874854425
6083,forest,0.14644128705952816
6083,shrub,0.04059494892356836
6083,urban+shrub,0.016504175955811398
6083,crop,0.009882540844508035
6083,grass,0.0027950620570325758
6081,urban+forest,0.6099804466965933
6081,urban,0.19655200903307538
6081,forest,0.1740519401834155
6081,urban+shrub,0.014981685990471207
6081,urban+barren,0.0028366059871664235
6081,barren,0.000771116190686018
6081,shrub,0.000771116190686018
6081,crop,5.5079727906144145e-05
6079,urban+grass,0.512486427795874
6079,shrub,0.14852104102918434
6079,forest,0.11917217780409962
6079,urban+forest,0.09294903431711249
6079,urban+shrub,0.07623465929654855
6079,urban+crop,0.031092685815812853
6079,crop,0.009903596222814464
6079,grass,0.009640377718553615
6077,urban+crop,0.3962279966471081
6077,urban,0.32449706621961444
6077,urban+forest,0.10875943000838223
6077,urban+grass,0.05557418273260687
6077,forest,0.04402766135792121
6077,crop,0.041911148365465216
6077,shrub,0.014899413243922884
6077,urban+shrub,0.01100167644593462
6077,urban+barren,0.001655490360435876
6077,grass,0.0014459346186085499
6075,urban,0.9523359012479163
6075,urban+forest,0.03734738928684057
6075,urban+shrub,0.004279857638419606
6075,urban+barren,0.003784295175023652
6075,barren,0.0016218407892958507
6075,forest,0.000630715862503942
6073,urban,0.6178532328111785
6073,urban+forest,0.15888277200392265
6073,urban+shrub,0.09238975338172649
6073,forest,0.05762555324370742
6073,shrub,0.03941845200724341
6073,urban+grass,0.019021725030742967
6073,urban+barren,0.01193397915185729
6073,barren,0.0020339651424035035
6073,urban+crop,0.00029575513550255024
6073,grass,0.00024386826962490986
6073,urban+other,0.00023349089644938176
6073,crop,6.74529256409325e-05
6071,urban,0.4765932359705343
6071,urban+barren,0.17804900827700534
6071,urban+grass,0.07531024177261
6071,urban+shrub,0.06789128988197388
6071,forest,0.05455935745222335
6071,shrub,0.04746144596598139
6071,barren,0.045727827782252886
6071,urban+forest,0.03386684411445382
6071,grass,0.018416045015701793
6071,urban+crop,0.0020196359985523997
6071,crop,0.00010506776871081847
6069,urban+grass,0.6127008032128514
6069,urban+crop,0.07906626506024096
6069,shrub,0.07555220883534136
6069,crop,0.07028112449799197
6069,urban+shrub,0.06375502008032129
6069,forest,0.06224899598393574
6069,urban+forest,0.029116465863453816
6069,grass,0.007279116465863454
6067,urban,0.6153769841269842
6067,urban+forest,0.16196428571428573
6067,urban+crop,0.08629960317460317
6067,urban+grass,0.04001984126984127
6067,urban+shrub,0.030476190476190476
6067,shrub,0.028432539682539684
6067,forest,0.024017857142857143
6067,crop,0.010248015873015872
6067,urban+barren,0.0027678571428571427
6067,grass,0.0003968253968253968
6065,urban,0.34710760507577787
6065,urban+barren,0.20298563277929665
6065,urban+grass,0.1538753088977719
6065,urban+shrub,0.12926455799192443
6065,shrub,0.0618199827168854
6065,urban+forest,0.04155022462995436
6065,forest,0.021396698015473947
6065,barren,0.01862230330350059
6065,urban+crop,0.010556849823884051
6065,grass,0.007110333988609316
6065,crop,0.005710502776921483
6063,forest,0.6567012921205979
6063,urban+forest,0.323283506460603
6063,shrub,0.01570813275905751
6063,urban+grass,0.002786926779832784
6063,urban+shrub,0.0015201418799087915
6061,forest,0.34198791001882867
6061,urban,0.2643692399167575
6061,urban+forest,0.20382023585373105
6061,urban+grass,0.12701912595382023
6061,urban+shrub,0.0312902586463185
6061,shrub,0.023981765930036668
6061,urban+barren,0.0029481716380933506
6061,urban+crop,0.0024526806064810226
6061,crop,0.0016351204043206819
6061,grass,0.0004954910316123278
6059,urban,0.8387174833635813
6059,urban+forest,0.08543318368516573
6059,urban+grass,0.027293278568471996
6059,urban+shrub,0.02326869806094183
6059,urban+barren,0.011144012481293979
6059,forest,0.011118540452765308
6059,shrub,0.0016556818543636768
6059,urban+crop,0.0004967045563091031
6059,grass,0.0003438723851370713
6059,urban+other,0.0003247683637405674
6059,barren,0.0002037762282293756
6057,forest,0.828
6057,urban+forest,0.17192857142857143
6057,shrub,7.142857142857143e-05
6055,urban+grass,0.5031961135259524
6055,forest,0.23199522713713458
6055,urban+forest,0.18545981419926702
6055,shrub,0.0493479928407057
6055,urban+shrub,0.016023182476774908
6055,crop,0.010824171141225603
6055,grass,0.003068268984914344
6055,urban+crop,8.522969402539845e-05
6053,urban+crop,0.312649625453703
6053,forest,0.2714881458027647
6053,urban+forest,0.24067495559502664
6053,shrub,0.04869101861147579
6053,urban,0.03695266043709939
6053,urban+grass,0.034172522974747085
6053,crop,0.031353772492084334
6053,urban+shrub,0.022202486678507993
6053,urban+barren,0.0013128426905552552
6053,grass,0.0005019692640358329
6051,forest,0.3892698668818072
6051,urban+forest,0.290843081887858
6051,shrub,0.08632513110125051
6051,urban+grass,0.08430818878580072
6051,urban+shrub,0.06494554255748286
6051,urban+barren,0.04195240016135539
6051,grass,0.022589753933037516
6051,barren,0.018152480839048003
6051,crop,0.0016135538523598225
6049,shrub,0.3776800439802089
6049,urban+grass,0.3364485981308411
6049,urban+shrub,0.10555250137438153
6049,forest,0.08246289169873557
6049,urban+crop,0.05167674546454096
6049,crop,0.034084661902144035
6049,urban+forest,0.008796041781198461
6049,grass,0.003298515667949423
6047,urban+crop,0.6527018528373083
6047,crop,0.12428039282086015
6047,urban+forest,0.0713560059987422
6047,urban+grass,0.04987663876929031
6047,forest,0.043490880944318126
6047,shrub,0.036089207101736735
6047,urban+shrub,0.015722509796333026
6047,grass,0.006482511731411155
6045,forest,0.6223285486443381
6045,urban+forest,0.3776714513556619
6043,forest,0.681024447031432
6043,shrub,0.1559953434225844
6043,urban+forest,0.14551804423748546
6043,urban+shrub,0.01629802095459837
6043,grass,0.0011641443538998836
