h3,total_exposure,exposure_bin
89283082a0bffff,2195,High (50+)
8929a41136bffff,1278,High (50+)
8929a41ad17ffff,1236,High (50+)
8929a1d666bffff,1077,High (50+)
8929a199d47ffff,1035,High (50+)
89283082ac7ffff,991,High (50+)
8929a199d03ffff,966,High (50+)
8929a41ad93ffff,948,High (50+)
89283082bc3ffff,945,High (50+)
8929a199c63ffff,942,High (50+)
8929a41adbbffff,908,High (50+)
8929a41a277ffff,824,High (50+)
8929a41b353ffff,813,High (50+)
89283082b17ffff,798,High (50+)
8929a1d69b3ffff,793,High (50+)
89283082a9bffff,778,High (50+)
8929a198487ffff,777,High (50+)
8929a19a667ffff,765,High (50+)
89283444c4fffff,742,High (50+)
8929a56141bffff,733,High (50+)
89283080cb3ffff,729,High (50+)
8929a561457ffff,699,High (50+)
8929a1d7547ffff,698,High (50+)
8929a1d7533ffff,694,High (50+)
8929a400403ffff,692,High (50+)
8929a1d6b87ffff,692,High (50+)
8929a41944fffff,680,High (50+)
8929a1d62d3ffff,669,High (50+)
89283082b0bffff,660,High (50+)
8929a19a29bffff,656,High (50+)
8929a401c37ffff,654,High (50+)
89283082b83ffff,651,High (50+)
8929a41ad87ffff,647,High (50+)
8929a19b3c3ffff,635,High (50+)
8929a198e2bffff,633,High (50+)
89283082a1bffff,628,High (50+)
8929a40e27bffff,628,High (50+)
8929a411363ffff,614,High (50+)
8929a18a90fffff,612,High (50+)
8929a4188d3ffff,611,High (50+)
8929a0b7243ffff,608,High (50+)
8929a18a823ffff,595,High (50+)
8929a56143bffff,592,High (50+)
8929a470c57ffff,592,High (50+)
8929a1d62c3ffff,591,High (50+)
8929a18a82bffff,584,High (50+)
8929a456e07ffff,584,High (50+)
8929a561453ffff,582,High (50+)
8929a19a243ffff,580,High (50+)
8929a19b06fffff,579,High (50+)
8929a1025d7ffff,578,High (50+)
8929a181ba7ffff,575,High (50+)
8929a41136fffff,569,High (50+)
8929a578a0bffff,567,High (50+)
8929a1d7597ffff,566,High (50+)
8929a560e0fffff,560,High (50+)
8929a0869c3ffff,560,High (50+)
8929a561423ffff,557,High (50+)
8929a18a9cbffff,554,High (50+)
8929a54da33ffff,553,High (50+)
8929a54db83ffff,553,High (50+)
89283082947ffff,546,High (50+)
89283082a83ffff,544,High (50+)
8929a403477ffff,544,High (50+)
8929a56a49bffff,542,High (50+)
8929a1d7197ffff,542,High (50+)
8929a0b23c7ffff,541,High (50+)
8929a19958bffff,535,High (50+)
89283082a03ffff,535,High (50+)
89283082b4bffff,534,High (50+)
8928308282bffff,533,High (50+)
8929a18a947ffff,533,High (50+)
8929a54d30fffff,532,High (50+)
8929a199c47ffff,531,High (50+)
8929a18e6dbffff,521,High (50+)
8929a54c0a7ffff,511,High (50+)
8929a199a9bffff,510,High (50+)
89283082b8fffff,504,High (50+)
8929a1d62dbffff,503,High (50+)
8929a400363ffff,501,High (50+)
8929a401dcbffff,496,High (50+)
89283082847ffff,489,High (50+)
8929a40e20bffff,488,High (50+)
89283082bafffff,484,High (50+)
8929a40036fffff,481,High (50+)
89283082b7bffff,481,High (50+)
8929a41ad9bffff,481,High (50+)
8929a1d03d7ffff,480,High (50+)
8929a41abdbffff,478,High (50+)
8929a56231bffff,478,High (50+)
89283082a17ffff,477,High (50+)
8929a1d621bffff,475,High (50+)
8929a567343ffff,472,High (50+)
8929a198367ffff,472,High (50+)
8929a198417ffff,466,High (50+)
8929a1d75abffff,465,High (50+)
8929a199d83ffff,464,High (50+)
89283082b57ffff,463,High (50+)
8929a56142bffff,462,High (50+)
8929a198e07ffff,462,High (50+)
8929a0a6327ffff,460,High (50+)
8929a57892fffff,459,High (50+)
8929a199a0bffff,459,High (50+)
8928308108bffff,458,High (50+)
8929a1c21cfffff,457,High (50+)
8929a418c6fffff,455,High (50+)
8929a1135dbffff,455,High (50+)
8929a41ab97ffff,455,High (50+)
8928309552bffff,455,High (50+)
8929a0849d7ffff,453,High (50+)
89283082bb3ffff,453,High (50+)
8928308283bffff,452,High (50+)
8929a0b0007ffff,452,High (50+)
89283082b97ffff,451,High (50+)
8929a40ab13ffff,451,High (50+)
89283082b0fffff,450,High (50+)
8929a102697ffff,449,High (50+)
8929a411367ffff,448,High (50+)
8929a0b327bffff,448,High (50+)
8929a18a93bffff,448,High (50+)
8929a419c57ffff,447,High (50+)
8929a402657ffff,447,High (50+)
89283446367ffff,445,High (50+)
89283082bdbffff,445,High (50+)
8929a0a2ac3ffff,442,High (50+)
8929a199d57ffff,441,High (50+)
8929a4036a3ffff,441,High (50+)
8929a199593ffff,438,High (50+)
8929a47720bffff,436,High (50+)
8929a19a24fffff,434,High (50+)
8929a549aa7ffff,433,High (50+)
8929a4026c3ffff,432,High (50+)
89283082bcfffff,432,High (50+)
8929a0b0167ffff,431,High (50+)
89283082bc7ffff,429,High (50+)
89283082a87ffff,429,High (50+)
8929a54dbabffff,427,High (50+)
8929a41ad57ffff,426,High (50+)
8929a0b6203ffff,425,High (50+)
89283095277ffff,422,High (50+)
8929a1d6983ffff,422,High (50+)
8929a18a827ffff,422,High (50+)
8929a40364bffff,421,High (50+)
8929a102683ffff,420,High (50+)
8929a18a837ffff,420,High (50+)
8929a4722b7ffff,419,High (50+)
8929a54c9d3ffff,418,High (50+)
