color1,color2,context_similarity,county_overlap,counties1_only,counties2_only
purple,red,0.9633924407498,0.25,8,16
brown,sage,0.9615849919358371,0.23529411764705882,8,18
orange,red,0.9576884795993081,0.2,16,16
amber,purple,0.9500959666299593,0.2,24,8
cocoa,orange,0.9460866591963628,0.23529411764705882,10,16
orange,purple,0.945428422286582,0.25,16,8
ivory,lilac,0.9369280616231838,0.29411764705882354,8,16
navy,red,0.9315296646993355,0.16666666666666666,24,16
ivory,lemon,0.9292540472168641,0.2692307692307692,11,8
indigo,sage,0.9274333748347452,0.2857142857142857,16,14
lemon,lilac,0.9247243632738131,0.20588235294117646,8,19
brown,indigo,0.9231889555645585,0.2222222222222222,8,20
blue,terracotta,0.9226982657098571,0.29411764705882354,0,24
foo,purple,0.9199476437073121,0.1951219512195122,25,8
azure,blue,0.9192792936734612,0.0,7,10
green,olive,0.9190603915135375,0.0,17,34
azure,foo,0.9149998007748387,0.02564102564102564,6,32
alabaster,blue,0.9146290105976597,0.2727272727272727,23,1
cocoa,red,0.9129855192309245,0.23529411764705882,10,16
amber,cocoa,0.9119759780922895,0.25,22,8
lilac,purple,0.907288780260247,0.0,26,16
cocoa,terracotta,0.9055228416772836,0.23809523809523808,8,24
azure,terracotta,0.9034951043976698,0.20588235294117646,0,27
cocoa,lilac,0.9004606238202449,0.047619047619047616,16,24
foo,red,0.8987712562963638,0.0,33,24
azure,purple,0.8951582147248915,0.0,7,16
lilac,navy,0.8949878651371432,0.16,18,24
amber,blue,0.8947994662987021,0.10526315789473684,28,6
purple,terracotta,0.8945875631164076,0.19047619047619047,8,26
orange,terracotta,0.8933885892076551,0.0,24,34
foo,lemon,0.8916720526280479,0.17073170731707318,26,8
cocoa,olive,0.8911821408243867,0.23809523809523808,8,24
lilac,orange,0.8901825307677909,0.19047619047619047,18,16
azure,red,0.8892727518234319,0.24,1,18
amber,azure,0.8890387352593054,0.18181818181818182,26,1
cocoa,foo,0.8888864500388606,0.24390243902439024,8,23
lilac,red,0.886433865238518,0.19047619047619047,18,16
amber,lilac,0.884604755828113,0.20833333333333334,22,16
blue,olive,0.8832293243471788,0.1,6,30
foo,scarlet,0.8830044445667412,0.09090909090909091,30,0
blue,cocoa,0.8827684584198956,0.037037037037037035,9,17
lilac,scarlet,0.881410268085964,0.0,26,3
alabaster,orange,0.8807095638797448,0.16666666666666666,24,16
blue,foo,0.8805643672947531,0.023809523809523808,9,32
ivory,navy,0.8797704807750024,0.19047619047619047,10,24
alabaster,azure,0.8792555851001931,0.18181818181818182,26,1
blue,orange,0.8788392505744662,0.0,10,24
azure,orange,0.8767337644738068,0.0,7,24
ivory,scarlet,0.876572479547864,0.0,18,3
azure,lilac,0.8752862521920721,0.06451612903225806,5,24
blue,lavender,0.8750656016046668,0.125,6,22
blue,purple,0.8746376448245915,0.0,10,16
azure,navy,0.8733716516987391,0.0,7,32
alabaster,olive,0.8732150085039644,0.13793103448275862,24,26
alabaster,purple,0.872440017650144,0.2,24,8
alabaster,cocoa,0.8721750273721156,0.19047619047619047,24,10
brown,coffee,0.8718988431940198,0.0,16,24
blue,navy,0.8715605057233659,0.0,10,32
ivory,terracotta,0.8696191604486304,0.23809523809523808,8,24
azure,cocoa,0.8694470243182953,0.041666666666666664,6,17
lemon,red,0.8687653976446995,0.25806451612903225,7,16
lemon,terracotta,0.8678117914137258,0.0425531914893617,13,32
ivory,orange,0.8657885236856757,0.23529411764705882,10,16
lemon,navy,0.8642302417689112,0.20512820512820512,7,24
amber,lemon,0.8640233011026459,0.2702702702702703,22,5
coffee,green,0.8618900730377007,0.07894736842105263,21,14
green,terracotta,0.8604060225608111,0.21428571428571427,8,25
blue,green,0.8584381155936593,0.08,8,15
blue,lilac,0.8582889974370513,0.2413793103448276,3,19
alabaster,foo,0.8582678162859736,0.14035087719298245,24,25
aqua,gray,0.8567502742309486,0.2222222222222222,4,10
lemon,scarlet,0.8566329089629546,0.0,15,3
cocoa,green,0.8551888144229924,0.2962962962962963,10,9
ivory,red,0.8549484163973989,0.0,18,24
lilac,olive,0.8536201405386803,0.2,16,24
green,sage,0.8535198568401676,0.0,17,26
azure,gold,0.8519135383668804,0.0,7,21
