fips_a,fips_b,lc_type,accuracy,n_a,n_b,imp_st_damcat,imp_bldgtype,imp_clr
6001,6013,barren,,0,0,,,
6001,6075,barren,,0,36,,,
6001,6077,barren,,0,0,,,
6001,6081,barren,,0,28,,,
6001,6085,barren,,0,0,,,
6001,6099,barren,,0,0,,,
6003,6005,barren,,0,0,,,
6003,6009,barren,,0,0,,,
6003,6017,barren,,0,0,,,
6003,6051,barren,,0,45,,,
6003,6109,barren,,0,0,,,
6005,6009,barren,,0,0,,,
6005,6017,barren,,0,0,,,
6005,6067,barren,,0,0,,,
6005,6077,barren,,0,0,,,
6007,6011,barren,,0,0,,,
6007,6021,barren,,0,0,,,
6007,6063,barren,,0,0,,,
6007,6101,barren,,0,0,,,
6007,6103,barren,,0,0,,,
6007,6115,barren,,0,0,,,
6009,6077,barren,,0,0,,,
6009,6099,barren,,0,0,,,
6009,6109,barren,,0,0,,,
6011,6021,barren,,0,0,,,
6011,6033,barren,,0,0,,,
6011,6101,barren,,0,0,,,
6011,6113,barren,,0,0,,,
6013,6041,barren,,0,0,,,
6013,6067,barren,,0,0,,,
6013,6075,barren,,0,36,,,
6013,6077,barren,,0,0,,,
6013,6095,barren,,0,0,,,
6013,6097,barren,,0,0,,,
6015,6023,barren,,0,0,,,
6015,6093,barren,,0,0,,,
6017,6061,barren,,0,0,,,
6017,6067,barren,,0,0,,,
6019,6027,barren,0.9355093804537522,313,261,4.7943467822794075,6.893545717608166,88.31210750011243
6019,6031,barren,,313,7,,,
6019,6039,barren,,313,0,,,
6019,6047,barren,,313,0,,,
6019,6051,barren,,313,45,,,
6019,6053,barren,,313,0,,,
6019,6069,barren,,313,0,,,
6019,6107,barren,,313,0,,,
6021,6033,barren,,0,0,,,
6021,6045,barren,,0,0,,,
6021,6103,barren,,0,0,,,
6023,6045,barren,,0,0,,,
6023,6093,barren,,0,0,,,
6023,6105,barren,,0,0,,,
6025,6065,barren,0.918975650713686,1079,3685,5.732943914895187,5.209234331241924,89.05782175386291
6025,6073,barren,0.8368441470274464,1079,392,4.411777487096394,9.951642808770025,85.63657970413358
6027,6029,barren,0.9551228184504925,261,764,6.1074023465517735,8.342685117413154,85.54991253603507
6027,6051,barren,,261,45,,,
6027,6071,barren,0.9936997229569967,261,7834,6.628863785123734,3.2747738283647068,90.09636238651156
6027,6107,barren,,261,0,,,
6029,6031,barren,,764,7,,,
6029,6037,barren,,764,30,,,
6029,6071,barren,0.9113747383112352,764,7834,10.541454038291494,60.310297324133025,29.148248637575485
6029,6079,barren,,764,0,,,
6029,6083,barren,,764,0,,,
6029,6107,barren,,764,0,,,
6029,6111,barren,0.9772697970655734,764,72,5.210142314896037,28.34266072521316,66.44719695989079
6031,6053,barren,,7,0,,,
6031,6079,barren,,7,0,,,
6031,6107,barren,,7,0,,,
6033,6045,barren,,0,0,,,
6033,6055,barren,,0,0,,,
6033,6097,barren,,0,0,,,
6033,6113,barren,,0,0,,,
6035,6049,barren,,0,0,,,
6035,6063,barren,,0,0,,,
6035,6089,barren,,0,0,,,
6035,6091,barren,,0,0,,,
6037,6059,barren,,30,32,,,
6037,6071,barren,,30,7834,,,
6037,6111,barren,,30,72,,,
6039,6043,barren,,0,0,,,
6039,6047,barren,,0,0,,,
6039,6051,barren,,0,45,,,
6039,6109,barren,,0,0,,,
6041,6075,barren,,0,36,,,
6041,6095,barren,,0,0,,,
6041,6097,barren,,0,0,,,
6043,6047,barren,,0,0,,,
6043,6099,barren,,0,0,,,
6043,6109,barren,,0,0,,,
6045,6097,barren,,0,0,,,
6045,6103,barren,,0,0,,,
6045,6105,barren,,0,0,,,
6047,6069,barren,,0,0,,,
6047,6085,barren,,0,0,,,
6047,6099,barren,,0,0,,,
6049,6089,barren,,0,0,,,
6049,6093,barren,,0,0,,,
6051,6109,barren,,45,0,,,
6053,6069,barren,,0,0,,,
6053,6079,barren,,0,0,,,
6053,6087,barren,,0,12,,,
6055,6095,barren,,0,0,,,
6055,6097,barren,,0,0,,,
6055,6113,barren,,0,0,,,
6057,6061,barren,,0,0,,,
6057,6091,barren,,0,0,,,
6057,6115,barren,,0,0,,,
6059,6065,barren,,32,3685,,,
6059,6071,barren,,32,7834,,,
6059,6073,barren,,32,392,,,
6061,6067,barren,,0,0,,,
6061,6101,barren,,0,0,,,
6061,6115,barren,,0,0,,,
6063,6089,barren,,0,0,,,
6063,6091,barren,,0,0,,,
6063,6103,barren,,0,0,,,
6063,6115,barren,,0,0,,,
6065,6071,barren,0.6957201853781366,3685,7834,45.02507172294951,10.832508577358666,44.14241969969181
6065,6073,barren,0.965906303654648,3685,392,10.331162228718878,5.020035400784808,84.64880237049633
6067,6077,barren,,0,0,,,
6067,6095,barren,,0,0,,,
6067,6101,barren,,0,0,,,
6067,6113,barren,,0,0,,,
6069,6085,barren,,0,0,,,
6069,6087,barren,,0,12,,,
6075,6081,barren,,36,28,,,
6077,6099,barren,,0,0,,,
6079,6083,barren,,0,0,,,
6081,6085,barren,,28,0,,,
6081,6087,barren,,28,12,,,
6083,6111,barren,,0,72,,,
6085,6087,barren,,0,12,,,
6085,6099,barren,,0,0,,,
6089,6093,barren,,0,0,,,
6089,6103,barren,,0,0,,,
6089,6105,barren,,0,0,,,
6091,6115,barren,,0,0,,,
6093,6105,barren,,0,0,,,
6095,6097,barren,,0,0,,,
6095,6113,barren,,0,0,,,
6099,6109,barren,,0,0,,,
6101,6113,barren,,0,0,,,
6101,6115,barren,,0,0,,,
6103,6105,barren,,0,0,,,
6001,6013,urban+grass,0.8615123880235656,15866,21307,5.0670412800073015,2.9849197448780513,91.94803897511464
6001,6075,urban+grass,,15866,0,,,
6001,6077,urban+grass,0.9492384500660144,15866,2652,4.553336993160199,2.5724396544323507,92.87422335240745
