county_fips,neighbor_fips
06001,06013
06001,06075
06001,06077
06001,06081
06001,06085
06001,06099
06003,06005
06003,06009
06003,06017
06003,06051
06003,06109
06005,06003
06005,06009
06005,06017
06005,06067
06005,06077
06007,06011
06007,06021
06007,06063
06007,06101
06007,06103
06007,06115
06009,06003
06009,06005
06009,06077
06009,06099
06009,06109
06011,06007
06011,06021
06011,06033
06011,06101
06011,06113
06013,06001
06013,06041
06013,06067
06013,06075
06013,06077
06013,06095
06013,06097
06015,06023
06015,06093
06017,06003
06017,06005
06017,06061
06017,06067
06019,06027
06019,06031
06019,06039
06019,06047
06019,06051
06019,06053
06019,06069
06019,06107
06021,06007
06021,06011
06021,06033
06021,06045
06021,06103
06023,06015
06023,06045
06023,06093
06023,06105
06025,06065
06025,06073
06027,06019
06027,06029
06027,06051
06027,06071
06027,06107
06029,06027
06029,06031
06029,06037
06029,06071
06029,06079
06029,06083
06029,06107
06029,06111
06031,06019
06031,06029
06031,06053
06031,06079
06031,06107
06033,06011
06033,06021
06033,06045
06033,06055
06033,06097
06033,06113
06035,06049
06035,06063
06035,06089
06035,06091
06037,06029
06037,06059
06037,06071
06037,06111
06039,06019
06039,06043
06039,06047
06039,06051
06039,06109
06041,06013
06041,06075
06041,06095
06041,06097
06043,06039
06043,06047
06043,06099
06043,06109
06045,06021
06045,06023
06045,06033
06045,06097
06045,06103
06045,06105
06047,06019
06047,06039
06047,06043
06047,06069
06047,06085
06047,06099
06049,06035
06049,06089
06049,06093
06051,06003
06051,06019
06051,06027
06051,06039
06051,06109
06053,06019
06053,06031
06053,06069
06053,06079
06053,06087
06055,06033
06055,06095
06055,06097
06055,06113
06057,06061
06057,06091
06057,06115
06059,06037
06059,06065
06059,06071
06059,06073
06061,06017
06061,06057
06061,06067
06061,06101
06061,06115
06063,06007
06063,06035
06063,06089
06063,06091
06063,06103
06063,06115
06065,06025
06065,06059
06065,06071
06065,06073
06067,06005
06067,06013
06067,06017
06067,06061
06067,06077
06067,06095
06067,06101
06067,06113
06069,06019
06069,06047
06069,06053
06069,06085
06069,06087
06071,06027
06071,06029
06071,06037
06071,06059
06071,06065
06073,06025
06073,06059
06073,06065
06075,06001
06075,06013
06075,06041
06075,06081
06077,06001
06077,06005
06077,06009
06077,06013
06077,06067
06077,06099
06079,06029
06079,06031
06079,06053
06079,06083
06081,06001
06081,06075
06081,06085
06081,06087
06083,06029
06083,06079
06083,06111
06085,06001
06085,06047
06085,06069
06085,06081
06085,06087
06085,06099
06087,06053
06087,06069
06087,06081
06087,06085
06089,06035
06089,06049
06089,06063
06089,06093
06089,06103
06089,06105
06091,06035
06091,06057
06091,06063
06091,06115
06093,06015
06093,06023
06093,06049
06093,06089
06093,06105
06095,06013
06095,06041
06095,06055
06095,06067
06095,06097
06095,06113
06097,06013
06097,06033
06097,06041
06097,06045
06097,06055
06097,06095
06099,06001
06099,06009
06099,06043
06099,06047
06099,06077
06099,06085
06099,06109
06101,06007
06101,06011
06101,06061
06101,06067
06101,06113
06101,06115
06103,06007
06103,06021
06103,06045
06103,06063
06103,06089
06103,06105
06105,06023
06105,06045
06105,06089
06105,06093
06105,06103
06107,06019
06107,06027
06107,06029
06107,06031
06109,06003
06109,06009
06109,06039
06109,06043
06109,06051
06109,06099
06111,06029
06111,06037
06111,06083
06113,06011
06113,06033
06113,06055
06113,06067
06113,06095
06113,06101
06115,06007
06115,06057
06115,06061
06115,06063
06115,06091
06115,06101
