clr,alabaster,amber,aqua,aquamarine,auburn,azure,bar,beige,blue,brown,cocoa,coffee,crimson,emerald,foo,gold,gray,green,grey,indigo,ivory,lavender,lemon,lilac,maroon,navy,olive,orange,plum,purple,red,sage,scarlet,sienna,tan,terracotta,verde,yellow
alabaster,1.0,0.98926121835862,0.9568724128042102,0.9182900584556289,0.30953740042624595,0.9769451556380643,0.26660682980014827,0.4082825519020051,0.9894252020592681,0.9571470699130339,0.9766815501352061,0.9251152057391246,0.8863159147617393,0.2506185711414094,0.9764801788514959,0.9338495619414471,0.9504983311914535,0.9955130268243971,0.7119178337012115,0.9508819339995283,0.9656741321163285,0.97887396297432,0.9454647059525921,0.9660180557022526,0.2998894811837535,0.9879190603305213,0.9915509608049068,0.9833976539730307,0.29924320867912707,0.9787520737194181,0.9856392779675973,0.9750084958125835,0.9628958918288542,0.600740248845212,0.6854830111087452,0.9948648921684903,0.8838565168964687,0.8854185926319476
amber,0.98926121835862,0.9999999999999999,0.9114341814842033,0.871518054013765,0.4099388151384485,0.9936693335232837,0.3154339606679153,0.4992557209047132,0.9960226530085681,0.9215588906724799,0.9920855727152349,0.8769594294071734,0.8524640262124752,0.26729546745868354,0.994337826329151,0.9477257281571723,0.9092735600003999,0.9949610621583945,0.7658008237982222,0.9305603519513377,0.9863247395022529,0.9636421704988323,0.9782424598458005,0.9879665361037085,0.3915903963228522,0.9964428249348574,0.983754719489172,0.9962763232988584,0.3692575735033463,0.9965702659191596,0.9991830828037467,0.9580926818812611,0.9836125540490369,0.6778106597385352,0.6564487591021005,0.9941779215074614,0.8205645565047731,0.8608640962947617
aqua,0.9568724128042102,0.9114341814842033,1.0,0.9727919459715815,0.14250695406404998,0.8831897585387367,0.24094839005167557,0.2529705418934203,0.9114693519031499,0.981548480634406,0.8840286305238473,0.9624105170489289,0.9195120315830143,0.29235889862563696,0.8769029428034304,0.8928897731553598,0.9899218387229908,0.9300111290099587,0.6006323613392753,0.9490647939919963,0.8522107813922946,0.9687003375245509,0.8167036593898541,0.8529157396879564,0.1765467430338294,0.9042544561103092,0.9355541190340282,0.8980773430081629,0.22868482970753393,0.8828124786403287,0.9041643185190246,0.9632091755331016,0.8601280284917316,0.4715697861765662,0.7506754140341882,0.9351243625032741,0.9427300960435936,0.9310304247060384
aquamarine,0.9182900584556289,0.871518054013765,0.9727919459715815,1.0000000000000002,0.13059811120097775,0.8502681738024213,0.22659772426042268,0.23434484478003262,0.8758176207301188,0.9414352517709897,0.8451326760863296,0.939474500785481,0.9118802858849315,0.29798930729790213,0.8414642268092737,0.8971164192997182,0.9825198830998835,0.8895267168270012,0.5785088052014564,0.9005747816858701,0.8121398763308184,0.9306384042874276,0.7761169975369149,0.8149704681923805,0.1682778874895828,0.8674659106679373,0.8981224448601934,0.8607331242624734,0.2249087544971667,0.8480588712270694,0.8674346881632881,0.9238849727360412,0.8461459149120816,0.461281629106327,0.6993482090900481,0.8933728914384239,0.9024779242507232,0.962967486357048
auburn,0.30953740042624595,0.4099388151384485,0.14250695406404998,0.13059811120097775,0.9999999999999999,0.439454699242925,0.8052120849135268,0.9859885334771397,0.4035377674258994,0.2766323971290024,0.4817184259830496,0.25399376391099904,0.12343419903370983,0.69043678868237,0.4314076403754539,0.49573575293576605,0.21307948303312396,0.3742634962911401,0.8723982534938647,0.3815512394518297,0.45260487202712024,0.3218288678683942,0.5350093390278812,0.452731639392346,0.9785303089493026,0.39131702263437973,0.3699727587635277,0.45875294852485526,0.8965533971120828,0.443034834923922,0.43066422167327667,0.3813224140451411,0.44467342347216987,0.9341428906009275,0.486943141493407,0.36039431329144833,0.13754095382350748,0.1519405108380449
azure,0.9769451556380643,0.9936693335232837,0.8831897585387367,0.8502681738024213,0.439454699242925,0.9999999999999997,0.29142886829055986,0.5229865261025523,0.9960681325039845,0.8924775857509862,0.9922088646928402,0.8517253502495035,0.8094912600752892,0.2379846028313419,0.9974168496316603,0.9360656513030214,0.882555866343309,0.9865276252920246,0.7743009842192031,0.9007765144915688,0.994087443716585,0.9383704845851986,0.9873488573403354,0.9951852602476755,0.4076326982717924,0.9945944896780097,0.977420658000401,0.9925275619835573,0.3604514662952962,0.9967425448428126,0.9949235766638265,0.9386051241093731,0.9922850316134859,0.6923943423294024,0.6224973582265046,0.9838863500508322,0.7855144417138405,0.8391556779680582
bar,0.26660682980014827,0.3154339606679153,0.24094839005167557,0.22659772426042268,0.8052120849135268,0.29142886829055986,0.9999999999999999,0.8210075647955165,0.29432361631929493,0.3833537899522172,0.3541191526799273,0.35504258741336836,0.30868808201095455,0.949058169648816,0.28938971295812344,0.5024743715776598,0.3274098647212171,0.3009238285873111,0.7750458665495074,0.4773899422356618,0.2769447469036742,0.38399340736245147,0.34959967662474123,0.2805722137670352,0.8795845666961464,0.2658718004911394,0.30140706493464975,0.3482073455400294,0.9767351750260852,0.3036465228604281,0.3233581019348779,0.42213482191278984,0.2822928830568601,0.8124441597442225,0.7111665836241496,0.3062588960035963,0.2824319516770661,0.24425591739162902
beige,0.4082825519020051,0.4992557209047132,0.2529705418934203,0.23434484478003262,0.9859885334771397,0.5229865261025523,0.8210075647955165,0.9999999999999999,0.49337725989433046,0.3853652551432953,0.5681727404541744,0.36175059397595566,0.22732361382640323,0.7196114976935618,0.5151440774400952,0.5788174154053971,0.32000364351687016,0.46835407910102017,0.9192354430043259,0.4834092203794576,0.533383631003251,0.4236459780444471,0.6095850637562598,0.5331801141840642,0.973155711844999,0.48011057421967956,0.4656615937631971,0.5463755716204368,0.9058015503639066,0.5271189533450031,0.5181913137615264,0.48245695272878314,0.5241807354779257,0.9644574171739915,0.5745518723468818,0.4552828304706364,0.24822137586741502,0.2458920477605592
blue,0.9894252020592681,0.9960226530085681,0.9114693519031499,0.8758176207301188,0.4035377674258994,0.9960681325039845,0.29432361631929493,0.49337725989433046,1.0,0.9232429536352404,0.9922346464508752,0.8884428747536717,0.8450594228586933,0.2567510932178169,0.9956284691268573,0.9400994442786075,0.9107876386706614,0.996460498330784,0.7635988496701186,0.9291662821766505,0.990588838449358,0.9588820902624104,0.9796529587252919,0.991083675450226,0.3767240633241309,0.9958065837812301,0.9913060223266562,0.9943579793737991,0.35082834034964444,0.994229325709192,0.9947115419867087,0.959617259959273,0.9876699521899959,0.6683334768842172,0.6558644646806496,0.9941905497608259,0.8330579802747796,0.8508976466251497
brown,0.9571470699130339,0.9215588906724799,0.981548480634406,0.9414352517709897,0.2766323971290024,0.8924775857509862,0.3833537899522172,0.3853652551432953,0.9232429536352404,1.0,0.9068517561226221,0.983413419233222,0.9157106404525285,0.4251322029753348,0.8896331665236755,0.9159192699598689,0.9849138150974978,0.9429011840206375,0.7071281306951201,0.9894347370255862,0.869762862540354,0.9829561861990104,0.8476291321239829,0.8691852230769527,0.30838750389965547,0.9080853156560122,0.9534095862210968,0.9169042253101808,0.3692007357197185,0.8939146525529741,0.9139551249786213,0.9900112786006585,0.8698922718877002,0.5799948581552403,0.8325127703781832,0.9469260028825733,0.961690378811462,0.8872034761335741
