fips,lc_type,clr,count,exposure
6001,forest,alabaster,891,10026
6001,forest,amber,579,10026
6001,forest,cocoa,3656,10026
6001,forest,green,1843,10026
6001,forest,grey,1,10026
6001,forest,indigo,1,10026
6001,forest,navy,1063,10026
6001,forest,orange,1213,10026
6001,forest,red,779,10026
6001,grass,alabaster,9,34
6001,grass,cocoa,12,34
6001,grass,green,3,34
6001,grass,grey,1,34
6001,grass,navy,3,34
6001,grass,orange,3,34
6001,grass,red,3,34
6001,shrub,alabaster,408,2586
6001,shrub,amber,182,2586
6001,shrub,cocoa,896,2586
6001,shrub,green,227,2586
6001,shrub,grey,13,2586
6001,shrub,indigo,1,2586
6001,shrub,lemon,1,2586
6001,shrub,navy,278,2586
6001,shrub,orange,282,2586
6001,shrub,purple,19,2586
6001,shrub,red,279,2586
6001,urban,alabaster,23825,277359
6001,urban,amber,23832,277359
6001,urban,cocoa,77286,277359
6001,urban,green,18968,277359
6001,urban,grey,735,277359
6001,urban,indigo,780,277359
6001,urban,lemon,728,277359
6001,urban,navy,29057,277359
6001,urban,orange,42496,277359
6001,urban,purple,29834,277359
6001,urban,red,29818,277359
6001,urban+barren,alabaster,53,590
6001,urban+barren,amber,50,590
6001,urban+barren,cocoa,184,590
6001,urban+barren,green,9,590
6001,urban+barren,navy,53,590
6001,urban+barren,orange,113,590
6001,urban+barren,purple,32,590
6001,urban+barren,red,96,590
6001,urban+crop,alabaster,10,98
6001,urban+crop,amber,15,98
6001,urban+crop,cocoa,19,98
6001,urban+crop,green,6,98
6001,urban+crop,navy,10,98
6001,urban+crop,orange,15,98
6001,urban+crop,purple,9,98
6001,urban+crop,red,14,98
6001,urban+forest,alabaster,2049,29114
6001,urban+forest,amber,1457,29114
6001,urban+forest,cocoa,11275,29114
6001,urban+forest,green,4080,29114
6001,urban+forest,grey,11,29114
6001,urban+forest,indigo,6,29114
6001,urban+forest,lemon,6,29114
6001,urban+forest,navy,1457,29114
6001,urban+forest,orange,4703,29114
6001,urban+forest,purple,1749,29114
6001,urban+forest,red,2321,29114
6001,urban+grass,alabaster,5304,68720
6001,urban+grass,amber,6635,68720
6001,urban+grass,cocoa,18043,68720
6001,urban+grass,green,3419,68720
6001,urban+grass,grey,130,68720
6001,urban+grass,indigo,269,68720
6001,urban+grass,lemon,174,68720
6001,urban+grass,navy,7961,68720
6001,urban+grass,orange,11715,68720
6001,urban+grass,purple,6159,68720
6001,urban+grass,red,8911,68720
6001,urban+other,alabaster,4,32
6001,urban+other,amber,5,32
6001,urban+other,cocoa,6,32
6001,urban+other,navy,4,32
6001,urban+other,orange,6,32
6001,urban+other,purple,1,32
6001,urban+other,red,6,32
6001,urban+shrub,alabaster,452,4744
6001,urban+shrub,amber,592,4744
6001,urban+shrub,cocoa,1186,4744
6001,urban+shrub,green,271,4744
6001,urban+shrub,grey,7,4744
6001,urban+shrub,indigo,5,4744
6001,urban+shrub,lemon,12,4744
6001,urban+shrub,navy,454,4744
6001,urban+shrub,orange,764,4744
6001,urban+shrub,purple,500,4744
6001,urban+shrub,red,501,4744
6003,forest,aqua,29,422
6003,forest,coffee,8,422
6003,forest,gray,1,422
6003,forest,ivory,46,422
6003,forest,lilac,37,422
6003,forest,olive,81,422
6003,forest,orange,39,422
6003,forest,sage,2,422
6003,forest,tan,179,422
6003,shrub,aqua,2,20
6003,shrub,ivory,2,20
6003,shrub,orange,2,20
6003,shrub,tan,14,20
6003,urban+forest,aqua,1,16
6003,urban+forest,coffee,2,16
6003,urban+forest,ivory,1,16
6003,urban+forest,lilac,1,16
6003,urban+forest,olive,1,16
6003,urban+forest,orange,1,16
6003,urban+forest,tan,9,16
6003,urban+shrub,ivory,1,9
6003,urban+shrub,lilac,2,9
6003,urban+shrub,orange,2,9
6003,urban+shrub,tan,4,9
6005,crop,alabaster,9,27
6005,crop,coffee,10,27
6005,crop,lilac,2,27
6005,crop,red,2,27
6005,crop,verde,4,27
6005,forest,alabaster,542,4771
6005,forest,bar,2,4771
6005,forest,blue,25,4771
6005,forest,coffee,2388,4771
6005,forest,lilac,137,4771
6005,forest,red,70,4771
6005,forest,tan,21,4771
6005,forest,verde,1586,4771
6005,grass,alabaster,2,20
6005,grass,bar,4,20
6005,grass,coffee,4,20
6005,grass,plum,2,20
6005,grass,red,2,20
6005,grass,tan,4,20
6005,grass,verde,2,20
6005,shrub,alabaster,128,866
6005,shrub,bar,10,866
6005,shrub,blue,65,866
6005,shrub,coffee,366,866
6005,shrub,lilac,63,866
6005,shrub,plum,7,866
6005,shrub,red,45,866
6005,shrub,tan,41,866
6005,shrub,terracotta,39,866
6005,shrub,verde,90,866
6005,shrub,yellow,12,866
6005,urban+forest,alabaster,128,2285
6005,urban+forest,bar,6,2285
6005,urban+forest,coffee,888,2285
6005,urban+forest,lilac,252,2285
6005,urban+forest,plum,23,2285
6005,urban+forest,red,227,2285
6005,urban+forest,tan,109,2285
6005,urban+forest,terracotta,134,2285
6005,urban+forest,verde,518,2285
6005,urban+grass,alabaster,191,1884
6005,urban+grass,bar,12,1884
6005,urban+grass,blue,4,1884
6005,urban+grass,coffee,508,1884
6005,urban+grass,lilac,261,1884
6005,urban+grass,plum,23,1884
6005,urban+grass,red,263,1884
6005,urban+grass,tan,73,1884
6005,urban+grass,terracotta,242,1884
6005,urban+grass,verde,241,1884
6005,urban+grass,yellow,66,1884
6005,urban+shrub,alabaster,39,424
6005,urban+shrub,coffee,117,424
6005,urban+shrub,lilac,72,424
6005,urban+shrub,plum,3,424
6005,urban+shrub,red,44,424
6005,urban+shrub,tan,4,424
6005,urban+shrub,terracotta,55,424
6005,urban+shrub,verde,59,424
6005,urban+shrub,yellow,31,424
6007,crop,alabaster,122,312
6007,crop,amber,11,312
6007,crop,bar,6,312
6007,crop,brown,121,312
6007,crop,indigo,35,312
6007,crop,lavender,2,312
6007,crop,terracotta,13,312
6007,crop,verde,2,312
6007,forest,alabaster,2028,14031
6007,forest,amber,94,14031
6007,forest,bar,18,14031
6007,forest,brown,6070,14031
6007,forest,indigo,1474,14031
6007,forest,lavender,195,14031
6007,forest,navy,6,14031
6007,forest,terracotta,1489,14031
6007,forest,verde,2657,14031
6007,grass,alabaster,15,47
6007,grass,amber,3,47
6007,grass,brown,15,47
6007,grass,indigo,7,47
6007,grass,terracotta,4,47
6007,grass,verde,3,47
6007,shrub,alabaster,499,1480
6007,shrub,amber,27,1480
6007,shrub,bar,10,1480
6007,shrub,brown,561,1480
6007,shrub,foo,7,1480
6007,shrub,indigo,138,1480
6007,shrub,navy,1,1480
6007,shrub,terracotta,143,1480
6007,shrub,verde,94,1480
6007,urban+crop,alabaster,380,2438
6007,urban+crop,amber,214,2438
6007,urban+crop,bar,10,2438
6007,urban+crop,brown,522,2438
6007,urban+crop,foo,191,2438
6007,urban+crop,gold,5,2438
6007,urban+crop,indigo,186,2438
6007,urban+crop,lavender,262,2438
6007,urban+crop,lilac,5,2438
6007,urban+crop,navy,3,2438
6007,urban+crop,terracotta,491,2438
6007,urban+crop,verde,169,2438
6007,urban+forest,alabaster,4002,26569
6007,urban+forest,amber,1972,26569
6007,urban+forest,bar,195,26569
6007,urban+forest,brown,9699,26569
6007,urban+forest,foo,713,26569
6007,urban+forest,gold,58,26569
6007,urban+forest,indigo,1198,26569
6007,urban+forest,lavender,476,26569
6007,urban+forest,lilac,2,26569
6007,urban+forest,navy,24,26569
6007,urban+forest,terracotta,4026,26569
6007,urban+forest,verde,4204,26569
6007,urban+grass,alabaster,1373,7860
6007,urban+grass,amber,698,7860
6007,urban+grass,bar,25,7860
6007,urban+grass,brown,1880,7860
6007,urban+grass,foo,395,7860
6007,urban+grass,gold,8,7860
6007,urban+grass,indigo,829,7860
6007,urban+grass,lavender,619,7860
6007,urban+grass,lilac,6,7860
6007,urban+grass,navy,8,7860
6007,urban+grass,terracotta,1474,7860
6007,urban+grass,verde,545,7860
6007,urban+shrub,alabaster,95,521
6007,urban+shrub,amber,68,521
6007,urban+shrub,brown,147,521
6007,urban+shrub,foo,30,521
6007,urban+shrub,indigo,51,521
6007,urban+shrub,lavender,30,521
6007,urban+shrub,terracotta,88,521
