color1,color2,context_similarity,county_overlap,counties1_only,counties2_only
cocoa,orange,0.9496009462868515,0.23529411764705882,10,16
purple,red,0.9466181796790116,0.25,8,16
amber,purple,0.944527150758485,0.2,24,8
ivory,lilac,0.9416926095145253,0.29411764705882354,8,16
orange,red,0.9294538383984678,0.2,16,16
blue,terracotta,0.9243714372387063,0.29411764705882354,0,24
azure,blue,0.9225909640586559,0.0,7,10
indigo,sage,0.9207184903556439,0.2857142857142857,16,14
brown,sage,0.9169953477406853,0.23529411764705882,8,18
blue,green,0.9148820728216341,0.08,8,15
green,terracotta,0.9105710743254387,0.21428571428571427,8,25
green,olive,0.9104318126786588,0.0,17,34
azure,foo,0.9079254483730457,0.02564102564102564,6,32
orange,purple,0.9076653187248074,0.25,16,8
blue,olive,0.9021967035044862,0.1,6,30
brown,indigo,0.9009991710998984,0.2222222222222222,8,20
navy,red,0.8988782936789135,0.16666666666666666,24,16
blue,foo,0.8971003685563798,0.023809523809523808,9,32
foo,purple,0.8959807240741912,0.1951219512195122,25,8
green,orange,0.8950528773482135,0.24242424242424243,9,16
cocoa,red,0.8942581376436737,0.23529411764705882,10,16
azure,lilac,0.8921327417518968,0.06451612903225806,5,24
brown,coffee,0.889528542896669,0.0,16,24
amber,blue,0.8876730280030032,0.10526315789473684,28,6
lilac,purple,0.8866045184731557,0.0,26,16
blue,lilac,0.8844196566334285,0.2413793103448276,3,19
amber,azure,0.8834725522805582,0.18181818181818182,26,1
azure,purple,0.8816868469101724,0.0,7,16
azure,terracotta,0.8811937835882964,0.20588235294117646,0,27
lemon,lilac,0.8811314611210683,0.20588235294117646,8,19
azure,red,0.8798747680574479,0.24,1,18
blue,navy,0.878514881402932,0.0,10,32
amber,cocoa,0.8783745973636339,0.25,22,8
alabaster,blue,0.8783593421481569,0.2727272727272727,23,1
foo,scarlet,0.8781304468838883,0.09090909090909091,30,0
foo,red,0.8775455060047012,0.0,33,24
amber,lilac,0.8762567530942945,0.20833333333333334,22,16
blue,ivory,0.8757943086061387,0.037037037037037035,9,17
lilac,navy,0.8753798894972672,0.16,18,24
azure,ivory,0.874469517381318,0.041666666666666664,6,17
azure,navy,0.8740422728133713,0.0,7,32
ivory,lemon,0.8732902157870174,0.2692307692307692,11,8
ivory,navy,0.873284795483132,0.19047619047619047,10,24
brown,gray,0.872278719047908,0.07142857142857142,14,12
blue,purple,0.8701379077777258,0.0,10,16
cocoa,green,0.8680960194044336,0.2962962962962963,10,9
alabaster,olive,0.866726679665083,0.13793103448275862,24,26
foo,green,0.8665337763541792,0.13636363636363635,27,11
foo,lemon,0.865478597241603,0.17073170731707318,26,8
ivory,terracotta,0.8636144590526836,0.23809523809523808,8,24
azure,green,0.8623931487916665,0.043478260869565216,6,16
blue,orange,0.8617758914964565,0.0,10,24
green,lilac,0.8604187891785335,0.2647058823529412,8,17
lilac,red,0.8603652358497088,0.19047619047619047,18,16
green,ivory,0.8594981096646535,0.0,17,18
lilac,scarlet,0.8581824655019683,0.0,26,3
orange,terracotta,0.8577841662430236,0.0,24,34
purple,terracotta,0.8577479209865055,0.19047619047619047,8,26
amber,ivory,0.8567997182479792,0.041666666666666664,30,16
coffee,gray,0.8556358955478331,0.22580645161290322,17,7
amber,lemon,0.8553039351336112,0.2702702702702703,22,5
lemon,red,0.8547084196760985,0.25806451612903225,7,16
azure,orange,0.851830029768652,0.0,7,24
